,Code Postal,Ville,Pièces,Chambres,Superficie,Loyer
666,75003,PARIS,2,1,"30,57",1027
667,75003,PARIS,1,,"19,85",715
668,75003,PARIS,3,2,70,3000
669,75003,PARIS,2,,"36,84",1452
670,75003,PARIS,1,,28,1290
671,75003,PARIS,2,1,25,1130
672,75003,PARIS,1,,27,1200
673,75003,PARIS,2,1,35,1400
674,75003,PARIS,1,,28,1200
675,75003,PARIS,1,,"32,6",1356
676,75003,PARIS,1,,"31,7",1293
677,75003,PARIS,5,4,125,3310
678,75003,PARIS,4,2,80,2940
679,75003,PARIS,2,1,39,1700
680,75003,PARIS,1,,16,873
681,75003,PARIS,2,1,38,1500
682,75003,PARIS,1,,"26,72",1150
683,75003,PARIS,3,1,"83,2",3089
684,75003,PARIS,1,,40,1390
685,75003,PARIS,1,,40,1220
686,75003,PARIS,2,1,"34,28",1221
687,75003,PARIS,6,4,200,5500
688,75003,PARIS,1,,29,1365
689,75003,PARIS,1,,13,1300
690,75003,PARIS,1,,13,760
691,75003,PARIS,1,,"31,35",1311
692,75003,PARIS,4,2,"74,59",2200
693,75003,PARIS,2,1,45,1450
694,75003,PARIS,1,,11,650
695,75003,PARIS,2,1,32,1245
696,75003,PARIS,1,,24,900
697,75003,PARIS,1,,30,1150
698,75003,PARIS,3,2,60,2300
699,75003,PARIS,1,,14,850
700,75004,PARIS,2,1,52,2050
701,75004,PARIS,1,,43,1850
702,75004,PARIS,1,,26,1550
703,75004,PARIS,1,,25,1350
704,75004,PARIS,1,,"25,69",1250
705,75004,PARIS,1,,20,1150
706,75004,PARIS,1,,23,990
707,75004,PARIS,3,2,67,2380
708,75004,PARIS,3,2,63,2450
709,75004,PARIS,2,1,65,3000
710,75004,PARIS,1,,10,595
711,75004,PARIS,2,1,75,3300
712,75004,PARIS,3,2,120,4600
713,75004,PARIS,2,1,50,2390
714,75004,PARIS,2,1,50,2390
715,75004,PARIS,3,1,42,1900
716,75004,PARIS,1,,"27,19",1400
717,75004,PARIS,3,2,"102,18",3295
718,75004,PARIS,1,,20,970
